

2066 n rank 2, n<29264
TT. test: r(  2009) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 41
TT. test: r(  2020) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 505
TT. test: r(  2034) = 2 cntrs(a= 16, b= 8) (a/b)= 2 core= 226
TT. test: r(  2035) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 2035
TT. test: r(  2056) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 514
TT. test: r(  2059) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 2059
TT. test: r(  2113) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 2113
TT. test: r(  2130) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 2130
TT. test: r(  2139) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 2139
TT. test: r(  2145) = 2 cntrs(a= 128, b= 64) (a/b)= 2 core= 2145
TT. test: r(  2154) = 2 cntrs(a= 80, b= 40) (a/b)= 2 core= 2154
TT. test: r(  2170) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 2170
TT. test: r(  2176) = 2 cntrs(a= 8, b= 4) (a/b)= 2 core= 34
TT. test: r(  2184) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 546
TT. test: r(  2192) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 137
TT. test: r(  2195) = 2 cntrs(a= 192, b= 96) (a/b)= 2 core= 2195
TT. test: r(  2201) = 2 cntrs(a= 256, b= 128) (a/b)= 2 core= 2201
TT. test: r(  2208) = 2 cntrs(a= 16, b= 8) (a/b)= 2 core= 138
TT. test: r(  2244) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 561
TT. test: r(  2249) = 2 cntrs(a= 160, b= 80) (a/b)= 2 core= 2249
TT. test: r(  2257) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 2257
TT. test: r(  2273) = 2 cntrs(a= 192, b= 96) (a/b)= 2 core= 2273
TT. test: r(  2282) = 2 cntrs(a= 80, b= 40) (a/b)= 2 core= 2282
TT. test: r(  2298) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 2298
TT. test: r(  2306) = 2 cntrs(a= 128, b= 64) (a/b)= 2 core= 2306
TT. test: r(  2313) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 257
TT. test: r(  2320) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 145
TT. test: r(  2329) = 2 cntrs(a= 128, b= 64) (a/b)= 2 core= 2329
TT. test: r(  2337) = 2 cntrs(a= 128, b= 64) (a/b)= 2 core= 2337
TT. test: r(  2340) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 65
TT. test: r(  2379) = 2 cntrs(a= 192, b= 96) (a/b)= 2 core= 2379
TT. test: r(  2385) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 265
TT. test: r(  2408) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 602
